Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","4.7 uF","C_0805_2012Metric",19.7000,31.4625,90.0000,bottom
"C2","0.22uF","C_0805_2012Metric",19.7000,24.3000,-90.0000,bottom
"C3","75p","C_0805_2012Metric",32.7000,28.0625,-90.0000,bottom
"C4","10uF","C_0805_2012Metric",30.3000,56.3625,90.0000,bottom
"C5","100nF","C_0805_2012Metric",28.3000,56.3625,90.0000,bottom
"C6","22uF","C_0805_2012Metric",7.7000,48.0625,-90.0000,bottom
"C7","10uF","C_0805_2012Metric",37.6500,32.3250,-90.0000,bottom
"D1","1A 20V","D_SMA",32.7000,33.3000,180.0000,bottom
"D2","BZV55C-3,6V","D_MiniMELF",22.5000,55.7000,180.0000,bottom
"L1","4.7uH","L_Bourns_SRN6045TA",24.9000,33.3000,0.0000,bottom
"R1","10k","R_0805_2012Metric",19.7000,27.8000,-90.0000,bottom
"R2","0R","R_0805_2012Metric",42.5000,45.1375,-90.0000,bottom
"R3","10k","R_0805_2012Metric",5.2500,61.8125,-90.0000,bottom
"R4","0R","R_0805_2012Metric",42.5000,41.7000,-90.0000,bottom
"R5","0R","R_0805_2012Metric",38.2000,45.1000,-90.0000,bottom
"R6","0R","R_0805_2012Metric",38.2750,41.7625,-90.0000,bottom
"R7","84k5","R_0805_2012Metric",30.4000,28.0625,-90.0000,bottom
"R8","10k","R_0805_2012Metric",31.5000,24.7000,-90.0000,bottom
"R9","910k","R_0805_2012Metric",11.4000,48.0000,-90.0000,bottom
"R10","0R","R_0805_2012Metric",16.3000,47.7625,-90.0000,bottom
"R11","0R","R_0805_2012Metric",29.2000,47.6625,-90.0000,bottom
"R12","0R","R_0805_2012Metric",25.2000,47.8000,-90.0000,bottom
"R13","10k","R_0805_2012Metric",18.9000,47.7625,90.0000,bottom
"R14","10k","R_0805_2012Metric",22.0000,47.7625,90.0000,bottom
"U1","LT1935","TSOT-23-5",24.5000,27.6000,180.0000,bottom
